engName1,engName2,rusName1,rusName2,name,numberCode,group.id,unit_type_id
mm,MMT,мм,ММ,Миллиметр,003,1,1
cm,CMT,см,СМ,Сантиметр,004,1,1
dm,DMT,дм,ДМ,Дециметр,005,1,1
m,MTR,м,М,Метр,006,1,1
km,KMT,"км; 10^3 м","КМ; ТЫС М","Километр; тысяча метров",008,1,1
Mm,MAM,"Мм; 10^6 м","МЕГАМ; МЛН М","Мегаметр; миллион метров",009,1,1
in,INH,дюйм,ДЮЙМ,"Дюйм (25,4 мм)",039,1,1
ft,FOT,фут,ФУТ,"Фут (0,3048 м)",041,1,1
yd,YRD,ярд,ЯРД,"Ярд (0,9144 м)",043,1,1
"n mile",NMI,миля,МИЛЬ,"Морская миля (1852 м)",047,1,1
mm2,MMK,мм2,ММ2,"Квадратный миллиметр",050,2,1
cm2,CMK,см2,СМ2,"Квадратный сантиметр",051,2,1
dm2,DMK,дм2,ДМ2,"Квадратный дециметр",053,2,1
m2,MTK,м2,М2,"Квадратный метр",055,2,1
daa,DAA,"10^3 м^2","ТЫС М2","Тысяча квадратных метров",058,2,1
ha,HAR,га,ГА,Гектар,059,2,1
km2,KMK,км2,КМ2,"Квадратный километр",061,2,1
in2,INK,дюйм2,ДЮЙМ2,"Квадратный дюйм (645,16 мм2)",071,2,1
ft2,FTK,фут2,ФУТ2,"Квадратный фут (0,092903 м2)",073,2,1
yd2,YDK,ярд2,ЯРД2,"Квадратный ярд (0,8361274 м2)",075,2,1
a,ARE,а,АР,"Ар (100 м2)",109,2,1
mm3,MMQ,мм3,ММ3,"Кубический миллиметр",110,3,1
"cm3; ml","CMQ; MLT","см3; мл","СМ3; МЛ","Кубический сантиметр; миллилитр",111,3,1
"I; L; dm^3","LTR; DMQ","л; дм3","Л; ДМ3","Литр; кубический дециметр",112,3,1
m3,MTQ,м3,М3,"Кубический метр",113,3,1
dl,DLT,дл,ДЛ,Децилитр,118,3,1
hl,HLT,гл,ГЛ,Гектолитр,122,3,1
Ml,MAL,Мл,МЕГАЛ,Мегалитр,126,3,1
in3,INQ,дюйм3,ДЮЙМ3,"Кубический дюйм (16387,1 мм3)",131,3,1
ft3,FTQ,фут3,ФУТ3,"Кубический фут (0,02831685 м3)",132,3,1
yd3,YDQ,ярд3,ЯРД3,"Кубический ярд (0,764555 м3)",133,3,1
"10^6 m3",HMQ,"10^6 м3","МЛН М3","Миллион кубических метров",159,3,1
hg,HGM,гг,ГГ,Гектограмм,160,4,1
mg,MGM,мг,МГ,Миллиграмм,161,4,1
МС,CTM,кар,КАР,"Метрический карат",162,4,1
g,GRM,г,Г,Грамм,163,4,1
kg,KGM,кг,КГ,Килограмм,166,4,1
t,TNE,т,Т,"Тонна; метрическая тонна (1000 кг)",168,4,1
kt,KTN,"10^3 т",КТ,Килотонна,170,4,1
cg,CGM,сг,СГ,Сантиграмм,173,4,1
-,GRT,БРТ,"БРУТТ. РЕГИСТР Т","Брутто-регистровая тонна (2,8316 м3)",181,4,1
-,CCT,"т грп","Т ГРУЗОПОД","Грузоподъемность в метрических тоннах",185,4,1
"q; 10^2 kg",DTN,ц,Ц,"Центнер (метрический) (100 кг, 1); гектокилограмм; квинтал1 (метрический, 1); децитонна",206,4,1
W,WTT,Вт,ВТ,Ватт,212,5,1
kW,KWT,кВт,КВТ,Киловатт,214,5,1
MW,MAW,"МВт; 10^3 кВт","МЕГАВТ; ТЫС КВТ","Мегаватт; тысяча киловатт",215,5,1
V,VLT,В,В,Вольт,222,5,1
kV,KVT,кВ,КВ,Киловольт,223,5,1
kV.A,KVA,кВ.А,КВ.А,Киловольт-ампер,227,5,1
MV.A,MVA,МВ.А,МЕГАВ.А,"Мегавольт-ампер (тысяча киловольт-ампер)",228,5,1
kVAR,KVR,квар,КВАР,Киловар,230,5,1
W.h,WHR,Вт.ч,ВТ.Ч,Ватт-час,243,5,1
kW.h,KWH,кВт.ч,КВТ.Ч,Киловатт-час,245,5,1
МW.h,MWH,"МВт.ч; 10^3 кВт.ч","МЕГАВТ.Ч; ТЫС КВТ.Ч","Мегаватт-час; 1000 киловатт-часов",246,5,1
GW.h,GWH,ГВт.ч,ГИГАВТ.Ч,"Гигаватт-час (миллион киловатт-часов)",247,5,1
A,AMP,А,А,Ампер,260,5,1
A.h,AMH,А.ч,А.Ч,"Ампер-час (3,6 кКл)",263,5,1
"10^3 A.h",TAH,"10^3 А.ч","ТЫС А.Ч","Тысяча ампер-часов",264,5,1
C,COU,Кл,КЛ,Кулон,270,5,1
J,JOU,Дж,ДЖ,Джоуль,271,5,1
kJ,KJO,кДж,КДЖ,Килоджоуль,273,5,1
<омега>,OHM,Ом,ОМ,Ом,274,5,1
"град. C",CEL,"град. C","ГРАД ЦЕЛЬС","Градус Цельсия",280,5,1
"град. F",FAN,"град. F","ГРАД ФАРЕНГ","Градус Фаренгейта",281,5,1
cd,CDL,кд,КД,Кандела,282,5,1
lx,LUX,лк,ЛК,Люкс,283,5,1
lm,LUM,лм,ЛМ,Люмен,284,5,1
K,KEL,K,К,Кельвин,288,5,1
N,NEW,Н,Н,Ньютон,289,5,1
Hz,HTZ,Гц,ГЦ,Герц,290,5,1
kHz,KHZ,кГц,КГЦ,Килогерц,291,5,1
MHz,MHZ,МГц,МЕГАГЦ,Мегагерц,292,5,1
Pa,PAL,Па,ПА,Паскаль,294,5,1
S,SIE,См,СИ,Сименс,296,5,1
kPa,KPA,кПа,КПА,Килопаскаль,297,5,1
MPa,MPA,МПа,МЕГАПА,Мегапаскаль,298,5,1
atm,ATM,атм,АТМ,"Физическая атмосфера (101325 Па)",300,5,1
at,ATT,ат,АТТ,"Техническая атмосфера (98066,5 Па)",301,5,1
GBq,GBQ,ГБк,ГИГАБК,Гигабеккерель,302,5,1
mCi,MCU,мКи,МКИ,Милликюри,304,5,1
Ci,CUR,Ки,КИ,Кюри,305,5,1
"g fissile isotopes",GFI,"г Д/И","Г ДЕЛЯЩ ИЗОТОП","Грамм делящихся изотопов",306,5,1
mbar,MBR,мб,МБАР,Миллибар,308,5,1
bar,BAR,бар,БАР,Бар,309,5,1
hbar,HBA,гб,ГБАР,Гектобар,310,5,1
kbar,KBA,кб,КБАР,Килобар,312,5,1
F,FAR,Ф,Ф,Фарад,314,5,1
kg/m3,KMQ,кг/м3,КГ/М3,"Килограмм на кубический метр",316,5,1
